Month,Habitat,Site,Location,Sex,SexID,Weight,WingL,TarsusL,CORT1,CORT2,CORT3,Exploration,Neophobia,Neophilia,Aggression,Boldness,Personality
Jan,Rural,Ocala,Farm,F,1,41,8.5,22.8,6.81,7.14,26.37,-1.12359,-0.56592,2.55857,-1.89158,-1.04228,A Pretty Chill Bird
Sept,Rural,GNV,ACF,F,1,41,8.2,19.69,6.95,7.4,9.28,0.43916,0.64639,1.05933,0.36991,-0.82902,Standard Bird
Feb,Urban,Ocala,Ocala,M,2,41,7.7,20.18,6.29,7.5,16.51,2.0558,-0.54036,-0.20921,-1.89158,-0.69671,A Pretty Chill Bird
Nov,Urban,GNV,GNV,F,1,41,8.6,21.5,1.22,9.04,10.48,1.51689,-0.50536,0.85853,-1.89158,1.08127,A Pretty Chill Bird
Feb,Urban,Ocala,Ocala,F,1,41,8.8,21.36,7.73,11.38,19.46,-1.06973,-0.55457,-0.15511,0.40828,-1.40546,Standard Bird
Dec,Rural,GNV,ACF,M,2,41,8.8,20.69,6.23,13.66,22.81,-0.36916,0.64276,0.2942,0.01783,0.27343,Standard Bird
Dec,Rural,GNV,ACF,F,1,41,8.1,20.91,5.04,17.37,23.03,0.54689,-0.1737,-0.2383,-0.41503,-0.28301,Standard Bird
Dec,Rural,GNV,ACF,M,2,41,8.9,20.33,2.79,23.48,30.92,-1.23138,1.86764,2.55857,-1.89158,1.07892,A Pretty Chill Bird
Sept,Urban,GNV,GNV,M,2,42,8.7,20.52,1.58,2.58,5.9,0.76241,-0.30836,-0.6102,0.0943,1.08096,A Pretty Chill Bird
Jan,Rural,Ocala,Farm,M,2,42,8.8,20.66,2.65,3.49,7.25,-1.12361,-0.56416,-0.00466,1.11406,-0.64268,Angry Bird
Aug,Urban,GNV,GNV,F,1,42,8,21.43,2.45,3.56,5.88,0.3853,-0.34389,-0.38062,0.22898,-1.44137,Standard Bird
Jan,Rural,Ocala,Farm,M,2,42,9.1,22.64,3.44,3.93,5.65,-0.80029,-0.42585,-0.08574,1.18852,1.07986,Angry Bird
Feb,Urban,Ocala,Ocala,F,1,42,8.5,20.7,2.07,5.55,10.41,-1.23138,-0.50761,0.6303,-1.89158,0.67375,A Pretty Chill Bird
Feb,Urban,Ocala,Ocala,F,1,42,8.4,21.43,6.69,11.35,13.09,-0.90804,-0.08582,-1.44521,0.4757,1.04904,Angry Bird
Nov,Rural,GNV,ACF,M,2,42,8.7,20.05,7.27,33.14,32.83,-0.1536,1.87125,0.77989,0.39186,1.0808,Angry Bird
Sept,Urban,GNV,GNV,M,2,43,8.2,20.75,2.64,3.3,5.26,-0.6386,-0.53749,-0.64999,-1.89158,1.07362,Standard Bird
Jan,Rural,Ocala,Farm,M,2,43,9.1,21.93,4,8.1,11.94,-0.53081,-0.23125,-0.36962,1.24497,1.07892,Angry Bird
Feb,Urban,Ocala,Ocala,M,2,43,8.9,22.5,6.41,8.3,22.07,0.33135,-0.13655,-0.93544,-0.67131,-0.9315,Standard Bird
Dec,Rural,Ocala,Farm,F,1,43,8.9,21.32,1.19,12.91,17.43,0.16971,-0.49791,-0.80634,1.49173,-0.28184,Angry Bird
Jan,Rural,Ocala,Farm,M,2,44,9.1,19.73,2.65,5.47,6.08,-0.15357,-0.5402,1.60219,1.46329,-0.60479,Standard Bird
Feb,Urban,Ocala,Ocala,M,2,44,9.1,19.53,1.02,11.11,15.61,1.7863,-0.36733,-1.01838,0.04605,-1.53973,Angry Bird
Nov,Urban,GNV,GNV,F,1,44,8.6,20.62,1.04,12.05,22.28,-0.74636,-0.58846,-0.72205,0.29991,1.08455,Standard Bird
Feb,Urban,Ocala,Ocala,F,1,44,8.6,20.94,8.57,13.11,15.97,-0.69248,-0.52428,-0.17581,0.63112,-1.29251,Angry Bird
Oct,Urban,GNV,GNV,F,1,45,8.7,19.43,0.32,1.39,13.35,-0.09977,-0.51961,-1.66934,0.48787,1.07986,A Pretty Chill Bird
Oct,Urban,GNV,GNV,M,2,45,8.6,20.29,0.5,2.61,5.5,-0.90804,-0.53611,-1.3076,0.43248,-0.71326,A Pretty Chill Bird
Oct,Rural,GNV,ACF,F,1,45,9,20.87,7.67,10.02,19.82,-0.20749,1.87524,1.29706,0.54875,-0.39362,Standard Bird
Dec,Urban,Ocala,Ocala,M,2,46,9.1,21.23,1.46,2.32,9.43,0.38521,1.39855,-1.21477,0.47695,-1.49095,Standard Bird
Feb,Urban,Ocala,Ocala,M,2,46,8.9,21.33,4.65,8.5,18.09,-0.26138,0.06525,-0.15292,-1.89158,-0.90095,A Pretty Chill Bird
Jan,Rural,Ocala,Farm,M,2,48,9.2,21.81,0.54,1.38,21.67,1.62467,-0.51944,-1.31487,0.61705,-0.51363,A Pretty Chill Bird
