OBJECTID,PostalCode,TotalVaccinated,VaccinatedAge75Up,VaccinatedAge65To74,VaccinatedAge55To64,VaccinatedAge45To54,VaccinatedAge35To44,VaccinatedAge25To34,VaccinatedAge15To24,VaccinatedAge0To14,StartDate,CreateDate
479,85203,13206,1301,1943,2365,1829,2088,1965,1478,237,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
480,85040,11622,713,1335,1965,1928,1898,2119,1456,208,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
481,85044,22164,2227,3561,4168,3278,3236,3057,2166,471,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
482,85023,14772,1572,2226,2607,2126,2385,2152,1405,299,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
483,85053,10850,1086,1771,1973,1665,1495,1553,1133,174,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
484,85353,15486,699,1380,2345,2764,2962,2589,2350,397,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
485,85207,22919,3334,4922,5209,3326,2128,1791,1872,337,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
486,85031,10479,614,1120,1777,1895,1589,1441,1773,270,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
487,85286,25601,1205,2450,3823,5294,5161,3304,3452,912,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
488,85043,12392,477,1049,1880,2374,2309,2043,1950,310,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
489,85233,19034,1391,2652,3617,3023,3019,2893,2036,403,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
490,85303,12621,675,1515,2229,2292,1947,1786,1849,328,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
491,85383,33516,3191,6139,6176,5902,5219,2713,3292,884,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
492,85339,19844,999,2076,3195,3789,3647,2847,2704,587,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
493,85295,21980,1057,1889,3118,4532,4292,3227,3185,680,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
494,85302,15700,1934,2529,2739,2399,2078,2083,1690,248,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
495,85212,20946,1448,2979,3409,3681,3788,2636,2518,487,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
496,85226,23179,1478,2734,4389,3582,3761,3870,2764,601,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
497,85392,16082,1075,2065,2778,2875,2442,2253,2205,389,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
498,85296,21836,1535,2268,3612,3976,4069,3065,2780,531,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
499,85016,20665,1942,2740,3294,2888,3356,4498,1726,221,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
500,85021,16730,2065,2314,2870,2539,2689,2182,1726,345,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
501,85379,18431,1425,2633,2807,3579,3041,2043,2425,478,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
502,85015,15170,1076,1784,2568,2466,2636,2698,1676,266,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
503,85051,15906,1335,1920,2819,2743,2469,2304,1978,338,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
504,85017,12432,637,1163,1921,2324,1929,1808,2365,285,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
505,85029,17016,1860,2378,3135,2643,2477,2388,1818,317,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
506,85042,19407,1276,2560,3583,3242,3044,3090,2230,382,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
507,85027,15443,1117,2148,2611,2287,2764,2956,1359,201,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
508,85202,16764,1437,2369,2601,2359,2672,3264,1808,254,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
509,85210,14583,899,1846,2518,2215,2379,2758,1750,218,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
510,85323,16141,833,1714,2670,2858,2809,2572,2276,409,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
511,85022,22982,2525,4023,4318,3212,3162,3426,1996,320,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
512,85224,23824,2072,3261,4116,3602,3894,4078,2370,431,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
513,85283,22351,1997,3095,3289,3025,3709,4387,2487,362,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
514,85251,22090,2861,2989,3419,2739,3064,4874,1959,185,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
515,85234,22705,1895,3103,4162,3830,3522,2919,2782,492,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
516,85338,27326,2153,4684,5034,4491,4111,3241,3015,597,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
517,85201,19218,1836,2360,3108,2822,2869,3557,2372,294,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
518,85037,18547,875,1785,3006,3465,3119,2994,2870,433,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
519,85035,16087,791,1510,2528,2966,2577,2595,2672,448,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
520,85041,24377,1486,2741,4206,4253,4218,3669,3161,643,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
521,85308,31622,3281,5339,6021,4605,3947,4619,3337,473,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
522,85345,23611,2412,3866,4610,3576,3253,3055,2455,384,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
523,85033,18673,994,1673,3161,3505,2928,2854,3030,528,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
524,85009,17143,997,1822,2957,3161,2679,2522,2551,454,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
525,85008,22044,974,1927,3402,3664,3885,5025,2781,386,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
526,85204,22013,1852,3086,3814,3470,3367,3476,2583,365,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
527,85032,30740,2966,4612,5360,4667,5038,4760,2817,520,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
528,85326,24976,1831,3620,4160,4374,4089,3483,2910,509,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
529,85301,19198,1476,2304,3479,3333,2917,2680,2573,436,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
530,85282,26071,2836,2898,3501,2933,3636,6002,3967,298,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
531,85225,31837,2102,3991,5640,5345,5220,5241,3681,617,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
