Project.Name,UNIT,SEARCH.AREA,Time,Date,EASTING,NORTHING,MolluskCode,ScientificName,Type,CommonName,Count,Year,Month
Nehalem,31-1,SA9,2011-10-28 09:15:00,2011-10-28,492229.0,5080402.0,MOFI,Monadenia fidelis,Snail,Pacific Sideband snail,1,2011,10
Nehalem,31-2,SA1,2011-11-01 08:30:00,2011-11-01,492723.0,5080510.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,31-2,SA1,2011-11-01 08:30:00,2011-11-01,492723.0,5080510.0,PRAN,Prophysaon andersoni,Slug,Reticulate Taildropper slug,1,2011,11
Nehalem,31-2,SA10,2011-11-02 10:15:00,2011-11-02,492739.0,5079743.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,31-2,SA11,2011-10-26 16:30:00,2011-10-26,492768.0,5079502.0,HEGL,Hemphillia glandulosa,Slug,Warty jumping slug,1,2011,10
Nehalem,31-2,SA12,2011-10-26 17:30:00,2011-10-26,492682.0,5079448.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,10
Nehalem,31-2,SA12,2011-10-26 17:30:00,2011-10-26,492682.0,5079448.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-2,SA13,2011-10-26 15:45:00,2011-10-26,492716.0,5079346.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,10
Nehalem,31-2,SA13,2011-10-26 15:45:00,2011-10-26,492716.0,5079346.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-2,SA14,2011-10-26 15:00:00,2011-10-26,492746.0,5079261.0,CRGE,Cryptomastix germana,Snail,Pygmy oregonian snail,1,2011,10
Nehalem,31-2,SA14,2011-10-26 15:00:00,2011-10-26,492746.0,5079261.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-2,SA15,2011-10-26 14:00:00,2011-10-26,492590.0,5079279.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,5,2011,10
Nehalem,31-2,SA15,2011-10-26 14:00:00,2011-10-26,492590.0,5079279.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,4,2011,10
Nehalem,31-2,SA16,2011-11-02 12:00:00,2011-11-02,492573.0,5079439.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA16,2011-11-02 12:00:00,2011-11-02,492573.0,5079439.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA16,2011-11-02 12:00:00,2011-11-02,492573.0,5079439.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,31-2,SA17,2011-11-02 11:15:00,2011-11-02,492560.0,5079576.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA17,2011-11-02 11:15:00,2011-11-02,492560.0,5079576.0,PRDU,Prophysaon dubium,Slug,Papillose Taildropper slug,2,2011,11
Nehalem,31-2,SA18,2011-11-02 14:30:00,2011-11-02,492440.0,5079555.0,PRDU,Prophysaon dubium,Slug,Papillose Taildropper slug,1,2011,11
Nehalem,31-2,SA18,2011-11-02 14:30:00,2011-11-02,492440.0,5079555.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,31-2,SA19,2011-11-02 12:45:00,2011-11-02,492472.0,5079463.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,31-2,SA19,2011-11-02 12:45:00,2011-11-02,492472.0,5079463.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA2,2011-11-01 09:30:00,2011-11-01,492696.0,5080387.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA2,2011-11-01 09:30:00,2011-11-01,492696.0,5080387.0,MEHE,Megomphix hemphilli,Snail,Oregon megomphix snail,2,2011,11
Nehalem,31-2,SA2,2011-11-01 09:30:00,2011-11-01,492696.0,5080387.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA20,2011-10-26 13:15:00,2011-10-26,492428.0,5079329.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,10
Nehalem,31-2,SA20,2011-10-26 13:15:00,2011-10-26,492428.0,5079329.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-2,SA21,2011-10-26 12:30:00,2011-10-26,492321.0,5079287.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,10
Nehalem,31-2,SA22,2011-10-26 11:45:00,2011-10-26,492158.0,5079298.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-2,SA22,2011-10-26 11:45:00,2011-10-26,492158.0,5079298.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,10
Nehalem,31-2,SA23,2011-10-26 10:30:00,2011-10-26,492115.0,5079395.0,PRAN,Prophysaon andersoni,Slug,Reticulate Taildropper slug,1,2011,10
Nehalem,31-2,SA24,2011-11-02 13:45:00,2011-11-02,492308.0,5079422.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA24,2011-11-02 13:45:00,2011-11-02,492308.0,5079422.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,31-2,SA25,2011-10-25 17:15:00,2011-10-25,492196.0,5079478.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-2,SA26,2011-10-25 16:30:00,2011-10-25,492074.0,5079607.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-2,SA27,2011-10-25 15:45:00,2011-10-25,492055.0,5079730.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-2,SA27,2011-10-25 15:45:00,2011-10-25,492055.0,5079730.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,10
Nehalem,31-2,SA28,2011-10-25 14:00:00,2011-10-25,492064.0,5079842.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,3,2011,10
Nehalem,31-2,SA29,2011-11-02 17:45:00,2011-11-02,492171.0,5079793.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA3,2011-11-01 17:16:00,2011-11-01,492721.0,5080258.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,11
Nehalem,31-2,SA3,2011-11-01 17:16:00,2011-11-01,492721.0,5080258.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA3,2011-11-01 17:16:00,2011-11-01,492721.0,5080258.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA30,2011-11-02 17:00:00,2011-11-02,492239.0,5079730.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA30,2011-11-02 17:00:00,2011-11-02,492239.0,5079730.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA31,2011-11-02 16:15:00,2011-11-02,492265.0,5079652.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA31,2011-11-02 16:15:00,2011-11-02,492265.0,5079652.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,4,2011,11
Nehalem,31-2,SA32,2011-11-02 15:15:00,2011-11-02,492458.0,5079656.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,2,2011,11
Nehalem,31-2,SA32,2011-11-02 15:15:00,2011-11-02,492458.0,5079656.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,31-2,SA32,2011-11-02 15:15:00,2011-11-02,492458.0,5079656.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,31-2,SA33,2011-11-02 09:15:00,2011-11-02,492551.0,5079768.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,11
Nehalem,31-2,SA33,2011-11-02 09:15:00,2011-11-02,492551.0,5079768.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA33,2011-11-02 09:15:00,2011-11-02,492551.0,5079768.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,31-2,SA34,2011-11-02 08:15:00,2011-11-02,492400.0,5079826.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,11
Nehalem,31-2,SA34,2011-11-02 08:15:00,2011-11-02,492400.0,5079826.0,CRGE,Cryptomastix germana,Snail,Pygmy oregonian snail,2,2011,11
Nehalem,31-2,SA34,2011-11-02 08:15:00,2011-11-02,492400.0,5079826.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA34,2011-11-02 08:15:00,2011-11-02,492400.0,5079826.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,31-2,SA35,2011-11-01 15:00:00,2011-11-01,492524.0,5079923.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA35,2011-11-01 15:00:00,2011-11-01,492524.0,5079923.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,31-2,SA36,2011-11-01 15:45:00,2011-11-01,492570.0,5080007.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,2,2011,11
Nehalem,31-2,SA36,2011-11-01 15:45:00,2011-11-01,492570.0,5080007.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA4,2011-11-01 10:30:00,2011-11-01,492622.0,5080383.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA4,2011-11-01 10:30:00,2011-11-01,492622.0,5080383.0,PRST,Pristiloma stearnsi,Snail,Triated tightcoil snail,1,2011,11
Nehalem,31-2,SA4,2011-11-01 10:30:00,2011-11-01,492622.0,5080383.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA6,2011-11-01 11:30:00,2011-11-01,492718.0,5080159.0,HEDR,Hemphillia dromedarius,Slug,Dromedary jumping slug,1,2011,11
Nehalem,31-2,SA7,2011-11-01 12:30:00,2011-11-01,492697.0,5080064.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,31-2,SA7,2011-11-01 12:30:00,2011-11-01,492697.0,5080064.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA7,2011-11-01 12:30:00,2011-11-01,492697.0,5080064.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,4,2011,11
Nehalem,31-2,SA8,2011-11-01 14:00:00,2011-11-01,492650.0,5079886.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA8,2011-11-01 14:00:00,2011-11-01,492650.0,5079886.0,PRFO,Prophysaon foliolatum,Slug,Yellow-bordered Taildropper slug,1,2011,11
Nehalem,31-2,SA8,2011-11-01 14:00:00,2011-11-01,492650.0,5079886.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,31-2,SA9,2011-11-01 13:15:00,2011-11-01,492733.0,5079894.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,31-2,SA9,2011-11-01 13:15:00,2011-11-01,492733.0,5079894.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-1,SA10,2011-11-11 10:30:00,2011-11-11,493210.0,5078860.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA10,2011-11-11 10:30:00,2011-11-11,493210.0,5078860.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,2,2011,11
Nehalem,5-1,SA12,2011-11-11 11:15:00,2011-11-11,493273.0,5078961.0,CRGE,Cryptomastix germana,Snail,Pygmy oregonian snail,1,2011,11
Nehalem,5-1,SA12,2011-11-11 11:15:00,2011-11-11,493273.0,5078961.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-1,SA13,2011-11-15 07:30:00,2011-11-15,493127.0,5078998.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,5-1,SA13,2011-11-15 07:30:00,2011-11-15,493127.0,5078998.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-1,SA14,2011-11-15 08:30:00,2011-11-15,493011.0,5078926.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-1,SA14,2011-11-15 08:30:00,2011-11-15,493011.0,5078926.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-1,SA15,2011-11-15 12:45:00,2011-11-15,492857.0,5078911.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA16,2011-11-15 12:00:00,2011-11-15,492809.0,5078761.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA17,2011-11-15 09:30:00,2011-11-15,493001.0,5078837.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-1,SA18,2011-11-15 10:15:00,2011-11-15,493054.0,5078758.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,2,2011,11
Nehalem,5-1,SA18,2011-11-15 10:15:00,2011-11-15,493054.0,5078758.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-1,SA19,2011-11-11 09:00:00,2011-11-11,493152.0,5078639.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,2,2011,11
Nehalem,5-1,SA19,2011-11-11 09:00:00,2011-11-11,493152.0,5078639.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA19,2011-11-11 09:00:00,2011-11-11,493152.0,5078639.0,MOFI,Monadenia fidelis,Snail,Pacific Sideband snail,1,2011,11
Nehalem,5-1,SA20,2011-11-11 08:15:00,2011-11-11,493174.0,5078548.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-1,SA20,2011-11-11 08:15:00,2011-11-11,493174.0,5078548.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,2,2011,11
Nehalem,5-1,SA20,2011-11-11 08:15:00,2011-11-11,493174.0,5078548.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,5-1,SA21,2011-11-15 11:00:00,2011-11-15,492937.0,5078694.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA21,2011-11-15 11:00:00,2011-11-15,492937.0,5078694.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA22,2011-11-16 11:15:00,2011-11-16,492817.0,5078645.0,HEDR,Hemphillia dromedarius,Slug,Dromedary jumping slug,1,2011,11
Nehalem,5-1,SA22,2011-11-16 11:15:00,2011-11-16,492817.0,5078645.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-1,SA23,2011-11-16 10:30:00,2011-11-16,495883.0,5078571.0,HEGL,Hemphillia glandulosa,Slug,Warty jumping slug,1,2011,11
Nehalem,5-1,SA23,2011-11-16 10:30:00,2011-11-16,495883.0,5078571.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-1,SA24,2011-11-16 09:45:00,2011-11-16,492825.0,5078452.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA24,2011-11-16 09:45:00,2011-11-16,492825.0,5078452.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA24,2011-11-16 09:45:00,2011-11-16,492825.0,5078452.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-1,SA25,2011-11-16 09:00:00,2011-11-16,492884.0,5078361.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,5-1,SA26,2011-11-15 16:00:00,2011-11-15,493028.0,5079149.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-1,SA26,2011-11-15 16:00:00,2011-11-15,493028.0,5079149.0,HEGL,Hemphillia glandulosa,Slug,Warty jumping slug,2,2011,11
Nehalem,5-1,SA26,2011-11-15 16:00:00,2011-11-15,493028.0,5079149.0,MOFI,Monadenia fidelis,Snail,Pacific Sideband snail,1,2011,11
Nehalem,5-1,SA27,2011-11-15 15:15:00,2011-11-15,492873.0,5079201.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA27,2011-11-15 15:15:00,2011-11-15,492873.0,5079201.0,PRAN,Prophysaon andersoni,Slug,Reticulate Taildropper slug,1,2011,11
Nehalem,5-1,SA27,2011-11-15 15:15:00,2011-11-15,492873.0,5079201.0,PRDU,Prophysaon dubium,Slug,Papillose Taildropper slug,1,2011,11
Nehalem,5-1,SA27,2011-11-15 15:15:00,2011-11-15,492873.0,5079201.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-1,SA28,2011-11-15 13:45:00,2011-11-15,492843.0,5079021.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA28,2011-11-15 13:45:00,2011-11-15,492843.0,5079021.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA28,2011-11-15 13:45:00,2011-11-15,492843.0,5079021.0,PRDU,Prophysaon dubium,Slug,Papillose Taildropper slug,1,2011,11
Nehalem,5-1,SA7,2011-11-11 16:00:00,2011-11-11,493456.0,5078155.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-1,SA8,2011-11-11 07:15:00,2011-11-11,493316.0,5073593.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-1,SA8,2011-11-11 07:15:00,2011-11-11,493316.0,5073593.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-1,SA8,2011-11-11 07:15:00,2011-11-11,493316.0,5073593.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-1,SA9,2011-11-11 09:45:00,2011-11-11,493226.0,5078696.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-2,SA1,2011-11-15 14:20:00,2011-11-15,492933.0,5079034.0,ALTO,Allogona townsendiana,Snail,Oreogn Forestsnail,3,2011,11
Nehalem,5-2,SA1,2011-11-15 14:20:00,2011-11-15,492933.0,5079034.0,CRGE,Cryptomastix germana,Snail,Pygmy oregonian snail,2,2011,11
Nehalem,5-2,SA1,2011-11-15 14:20:00,2011-11-15,492933.0,5079034.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-2,SA1,2011-11-15 14:20:00,2011-11-15,492933.0,5079034.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,2,2011,11
Nehalem,5-2,SA1,2011-11-15 14:20:00,2011-11-15,492933.0,5079034.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-2,SA2,2011-11-15 15:45:00,2011-11-15,493169.0,5079129.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-2,SA2,2011-11-15 15:45:00,2011-11-15,493169.0,5079129.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-2,SA3,2011-11-11 12:15:00,2011-11-11,493375.0,5079157.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,5-2,SA3,2011-11-11 12:15:00,2011-11-11,493375.0,5079157.0,HEGL,Hemphillia glandulosa,Slug,Warty jumping slug,1,2011,11
Nehalem,5-2,SA3,2011-11-11 12:15:00,2011-11-11,493375.0,5079157.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,4,2011,11
Nehalem,5-2,SA4,2011-11-11 13:00:00,2011-11-11,493436.0,5079071.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-4,SA1,2011-11-16 08:00:00,2011-11-16,492837.0,5078145.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-4,SA10,2011-11-10 15:15:00,2011-11-10,492999.0,5077795.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,4,2011,11
Nehalem,5-4,SA11,2011-11-10 16:00:00,2011-11-10,492989.0,5077654.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-4,SA11,2011-11-10 16:00:00,2011-11-10,492989.0,5077654.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-4,SA12,2011-11-10 16:45:00,2011-11-10,493189.0,5077802.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,5-4,SA13,2011-11-10 12:45:00,2011-11-10,493139.0,5077977.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,11
Nehalem,5-4,SA14,2011-11-10 09:45:00,2011-11-10,493320.0,5077999.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-4,SA14,2011-11-10 09:45:00,2011-11-10,493320.0,5077999.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-4,SA14,2011-11-10 09:45:00,2011-11-10,493320.0,5077999.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-4,SA15,2011-11-10 08:45:00,2011-11-10,493384.0,5077930.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-4,SA15,2011-11-10 08:45:00,2011-11-10,493384.0,5077930.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,11
Nehalem,5-4,SA16,2011-11-10 07:15:00,2011-11-10,493491.0,5077862.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,11
Nehalem,5-4,SA16,2011-11-10 07:15:00,2011-11-10,493491.0,5077862.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,11
Nehalem,5-4,SA17,2011-11-10 08:00:00,2011-11-10,493546.0,5077970.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-4,SA17,2011-11-10 08:00:00,2011-11-10,493546.0,5077970.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,3,2011,11
Nehalem,5-4,SA18,2011-11-10 10:45:00,2011-11-10,493493.0,5078066.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-4,SA2,2011-11-14 16:30:00,2011-11-14,492938.0,5078102.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,11
Nehalem,5-4,SA2,2011-11-14 16:30:00,2011-11-14,492938.0,5078102.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,5-4,SA3,2011-11-10 11:30:00,2011-11-10,493357.0,5078110.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
Nehalem,5-4,SA4,2011-11-10 14:30:00,2011-11-10,493002.0,5077903.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,11
Nehalem,5-4,SA4,2011-11-10 14:30:00,2011-11-10,493002.0,5077903.0,CRGE,Cryptomastix germana,Snail,Pygmy oregonian snail,1,2011,11
Nehalem,5-4,SA4,2011-11-10 14:30:00,2011-11-10,493002.0,5077903.0,ENES,Ensatina eschscholtzii,Salamander,Ensatina,1,2011,11
Nehalem,5-4,SA4,2011-11-10 14:30:00,2011-11-10,493002.0,5077903.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,3,2011,11
Nehalem,5-4,SA5,2011-11-14 15:30:00,2011-11-14,492854.0,5078019.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,3,2011,11
